"RecNo","leave_ind","fictive-oved","Expected_by_Formulas","Sign_Level","Concl_Prob","Prediction"
443,0.000000,6700.000000,"",0.000,0.151,No  more than 0.28
444,0.000000,1864.000000,"",0.081,0.233,No  more than 0.28
445,1.000000,8163.000000,"",0.285,0.343, more than 0.28
446,0.000000,3884.000000,"",0.000,0.158,No  more than 0.28
447,1.000000,4052.000000,"",0.165,0.231,No  more than 0.28
448,0.000000,7820.000000,"",0.000,0.110,No  more than 0.28
449,0.000000,103.000000,"",0.000,0.113,No  more than 0.28
450,0.000000,224.000000,-1.0,0.0, No Prediction
451,1.000000,6999.000000,"",0.000,0.614, more than 0.28
452,1.000000,4143.000000,"",0.000,0.542, more than 0.28
453,1.000000,2339.000000,"",0.014,0.164,No  more than 0.28
454,0.000000,3424.000000,"",0.000,0.147,No  more than 0.28
455,0.000000,6071.000000,"",0.000,0.131,No  more than 0.28
456,0.000000,3041.000000,"",0.000,0.142,No  more than 0.28
457,0.000000,3397.000000,"",0.000,0.162,No  more than 0.28
458,0.000000,8413.000000,"",0.000,0.129,No  more than 0.28
459,0.000000,7786.000000,"",0.000,0.131,No  more than 0.28
460,0.000000,6632.000000,"",0.000,0.106,No  more than 0.28
461,0.000000,1599.000000,"",0.000,0.147,No  more than 0.28
462,0.000000,2441.000000,"",0.000,0.144,No  more than 0.28
463,1.000000,3530.000000,"",0.000,0.099,No  more than 0.28
464,1.000000,4370.000000,"",0.372,0.337, more than 0.28
465,0.000000,2708.000000,"",0.004,0.093,No  more than 0.28
466,0.000000,1625.000000,"",0.000,0.142,No  more than 0.28
467,0.000000,1503.000000,"",0.000,0.163,No  more than 0.28
468,0.000000,6446.000000,"",0.000,0.152,No  more than 0.28
469,0.000000,6031.000000,"",0.000,0.121,No  more than 0.28
470,1.000000,6266.000000,"",0.000,0.116,No  more than 0.28
471,0.000000,7161.000000,"",0.000,0.139,No  more than 0.28
472,0.000000,2959.000000,"",0.000,0.159,No  more than 0.28
473,0.000000,5227.000000,"",0.000,0.151,No  more than 0.28
474,0.000000,4603.000000,"",0.000,0.144,No  more than 0.28
475,0.000000,3134.000000,"",0.022,0.180,No  more than 0.28
476,1.000000,1770.000000,"",0.000,0.550, more than 0.28
477,0.000000,2866.000000,"",0.000,0.133,No  more than 0.28
478,1.000000,3755.000000,"",0.000,0.106,No  more than 0.28
479,1.000000,8115.000000,"",0.223,0.377, more than 0.28
480,0.000000,3784.000000,"",0.000,0.118,No  more than 0.28
481,0.000000,7762.000000,"",0.000,0.130,No  more than 0.28
482,0.000000,2907.000000,"",0.149,0.204,No  more than 0.28
483,1.000000,5440.000000,"",0.000,0.750, more than 0.28
484,1.000000,3314.000000,"",0.532,0.262,No  more than 0.28
485,0.000000,4595.000000,"",0.000,0.543, more than 0.28
486,0.000000,4773.000000,"",0.257,0.237,No  more than 0.28
487,1.000000,2773.000000,"",0.733,0.328, more than 0.28
488,0.000000,6633.000000,"",0.000,0.111,No  more than 0.28
489,1.000000,8223.000000,"",0.000,0.551, more than 0.28
490,1.000000,1168.000000,"",0.000,0.083,No  more than 0.28
491,1.000000,7220.000000,"",0.000,0.149,No  more than 0.28
492,0.000000,627.000000,"",0.000,0.145,No  more than 0.28
493,0.000000,5691.000000,"",0.161,0.454, more than 0.28
494,0.000000,348.000000,"",0.049,0.196,No  more than 0.28
495,0.000000,6481.000000,"",0.078,0.185,No  more than 0.28
496,0.000000,6638.000000,"",0.000,0.157,No  more than 0.28
497,0.000000,6641.000000,"",0.000,0.151,No  more than 0.28
498,0.000000,5858.000000,"",0.000,0.599, more than 0.28
499,0.000000,6330.000000,"",0.808,0.321, more than 0.28
500,1.000000,1019.000000,"",0.466,0.283, more than 0.28
501,1.000000,5460.000000,"",0.000,0.547, more than 0.28
502,1.000000,7135.000000,"",0.000,0.540, more than 0.28
503,0.000000,6316.000000,"",0.000,0.084,No  more than 0.28
504,0.000000,6395.000000,"",0.000,0.158,No  more than 0.28
505,0.000000,1545.000000,"",0.000,0.176,No  more than 0.28
506,0.000000,3016.000000,"",0.000,0.139,No  more than 0.28
507,0.000000,5909.000000,"",0.000,0.109,No  more than 0.28
508,0.000000,351.000000,"",0.000,0.146,No  more than 0.28
509,0.000000,6182.000000,"",0.000,0.139,No  more than 0.28
510,0.000000,8259.000000,"",0.000,0.146,No  more than 0.28
511,1.000000,5355.000000,"",0.239,0.454, more than 0.28
512,0.000000,8092.000000,"",0.000,0.117,No  more than 0.28
513,0.000000,2314.000000,"",0.000,0.125,No  more than 0.28
514,0.000000,1080.000000,"",0.000,0.591, more than 0.28
515,0.000000,7472.000000,"",0.000,0.145,No  more than 0.28
516,0.000000,6276.000000,"",0.000,0.143,No  more than 0.28
517,1.000000,7520.000000,"",0.000,0.599, more than 0.28
518,0.000000,2480.000000,"",0.000,0.150,No  more than 0.28
519,0.000000,1024.000000,"",0.000,0.134,No  more than 0.28
520,1.000000,2587.000000,"",0.000,0.638, more than 0.28
521,1.000000,1404.000000,"",0.320,0.308, more than 0.28
522,1.000000,6660.000000,"",0.000,0.148,No  more than 0.28
523,0.000000,4621.000000,"",0.000,0.144,No  more than 0.28
524,0.000000,6016.000000,"",0.000,0.629, more than 0.28
525,0.000000,5226.000000,"",0.000,0.154,No  more than 0.28
526,1.000000,4387.000000,"",0.072,0.519, more than 0.28
527,0.000000,603.000000,"",0.042,0.176,No  more than 0.28
528,0.000000,1105.000000,"",0.000,0.099,No  more than 0.28
529,1.000000,4802.000000,"",0.000,0.079,No  more than 0.28
530,0.000000,8514.000000,"",0.180,0.225,No  more than 0.28
531,0.000000,7419.000000,"",0.000,0.150,No  more than 0.28
532,0.000000,6955.000000,"",0.000,0.154,No  more than 0.28
533,0.000000,858.000000,"",0.000,0.118,No  more than 0.28
534,1.000000,2993.000000,"",0.000,0.548, more than 0.28
535,0.000000,1474.000000,"",0.000,0.134,No  more than 0.28
536,0.000000,5604.000000,"",0.000,0.163,No  more than 0.28
537,0.000000,4275.000000,"",0.000,0.135,No  more than 0.28
538,1.000000,2581.000000,-1.0,0.0, No Prediction
539,1.000000,6003.000000,-1.0,0.0, No Prediction
540,1.000000,4048.000000,"",0.000,0.750, more than 0.28
541,1.000000,4377.000000,"",0.356,0.342, more than 0.28
542,0.000000,5361.000000,"",0.000,0.156,No  more than 0.28
543,0.000000,7963.000000,"",0.000,0.148,No  more than 0.28
544,0.000000,6745.000000,"",0.000,0.147,No  more than 0.28
545,1.000000,1620.000000,"",0.000,0.542, more than 0.28
546,0.000000,6377.000000,"",0.022,0.128,No  more than 0.28
547,0.000000,3907.000000,"",0.000,0.135,No  more than 0.28
548,1.000000,8330.000000,"",0.000,0.159,No  more than 0.28
549,0.000000,768.000000,"",0.000,0.146,No  more than 0.28
550,0.000000,2629.000000,"",0.000,0.126,No  more than 0.28
551,0.000000,5680.000000,"",0.218,0.376, more than 0.28
552,1.000000,4892.000000,"",0.000,0.588, more than 0.28
553,0.000000,6976.000000,"",0.000,0.115,No  more than 0.28
554,1.000000,2467.000000,"",0.000,0.150,No  more than 0.28
555,0.000000,5703.000000,"",0.000,0.145,No  more than 0.28
556,0.000000,6524.000000,"",0.000,0.150,No  more than 0.28
557,0.000000,5788.000000,"",0.000,0.602, more than 0.28
558,0.000000,5719.000000,"",0.000,0.091,No  more than 0.28
559,0.000000,7349.000000,"",0.000,0.155,No  more than 0.28
560,1.000000,8193.000000,"",0.715,0.285, more than 0.28
561,0.000000,3557.000000,"",0.000,0.145,No  more than 0.28
562,0.000000,269.000000,"",0.000,0.169,No  more than 0.28
563,0.000000,6288.000000,"",0.000,0.137,No  more than 0.28
564,0.000000,4194.000000,"",0.000,0.155,No  more than 0.28
565,0.000000,6135.000000,"",0.490,0.386, more than 0.28
566,0.000000,3411.000000,"",0.000,0.152,No  more than 0.28
567,0.000000,2133.000000,"",0.412,0.286, more than 0.28
568,1.000000,6726.000000,"",0.686,0.310, more than 0.28
569,1.000000,3744.000000,"",0.000,0.594, more than 0.28
570,0.000000,2965.000000,"",0.007,0.173,No  more than 0.28
571,0.000000,7222.000000,"",0.000,0.128,No  more than 0.28
572,0.000000,8134.000000,"",0.726,0.309, more than 0.28
573,1.000000,8371.000000,"",0.000,0.591, more than 0.28
574,0.000000,535.000000,"",0.000,0.156,No  more than 0.28
575,0.000000,4820.000000,"",0.000,0.149,No  more than 0.28
576,0.000000,5758.000000,"",0.000,0.112,No  more than 0.28
577,0.000000,2346.000000,-1.0,0.0, No Prediction
578,0.000000,67.000000,"",0.000,0.159,No  more than 0.28
579,0.000000,8046.000000,"",0.079,0.440, more than 0.28
580,0.000000,356.000000,"",0.000,0.150,No  more than 0.28
581,1.000000,1785.000000,"",0.000,0.132,No  more than 0.28
582,0.000000,2166.000000,"",0.000,0.152,No  more than 0.28
583,0.000000,3844.000000,"",0.000,0.150,No  more than 0.28
584,0.000000,7526.000000,"",0.000,0.544, more than 0.28
585,0.000000,7375.000000,"",0.000,0.140,No  more than 0.28
586,0.000000,3004.000000,"",0.048,0.231,No  more than 0.28
587,1.000000,4036.000000,"",0.000,0.154,No  more than 0.28
588,0.000000,474.000000,"",0.000,0.150,No  more than 0.28
589,0.000000,1431.000000,"",0.000,0.147,No  more than 0.28
590,0.000000,4953.000000,"",0.000,0.142,No  more than 0.28
591,0.000000,2248.000000,"",0.000,0.113,No  more than 0.28
592,0.000000,2414.000000,"",0.000,0.147,No  more than 0.28
593,0.000000,3352.000000,"",0.000,0.556, more than 0.28
594,0.000000,7947.000000,"",0.000,0.103,No  more than 0.28
595,1.000000,7470.000000,"",0.151,0.455, more than 0.28
596,0.000000,3152.000000,"",0.000,0.129,No  more than 0.28
597,0.000000,1432.000000,"",0.000,0.128,No  more than 0.28
598,1.000000,2820.000000,"",0.000,0.158,No  more than 0.28
599,0.000000,8123.000000,"",0.649,0.277,No  more than 0.28
600,0.000000,4524.000000,"",0.000,0.113,No  more than 0.28
601,0.000000,3550.000000,"",0.000,0.134,No  more than 0.28
602,0.000000,4517.000000,"",0.000,0.140,No  more than 0.28
603,1.000000,4637.000000,"",0.000,0.150,No  more than 0.28
604,1.000000,1997.000000,"",0.634,0.316, more than 0.28
605,0.000000,4161.000000,"",0.000,0.127,No  more than 0.28
606,0.000000,5464.000000,"",0.000,0.090,No  more than 0.28
607,1.000000,1805.000000,"",0.078,0.546, more than 0.28
608,1.000000,3276.000000,"",0.868,0.293, more than 0.28
609,0.000000,3979.000000,"",0.000,0.142,No  more than 0.28
610,1.000000,520.000000,"",0.000,0.155,No  more than 0.28
611,0.000000,6230.000000,"",0.000,0.140,No  more than 0.28
612,1.000000,7812.000000,"",0.000,0.574, more than 0.28
613,0.000000,760.000000,"",0.000,0.142,No  more than 0.28
614,0.000000,3129.000000,"",0.522,0.254,No  more than 0.28
615,0.000000,5496.000000,"",0.000,0.074,No  more than 0.28
616,0.000000,4182.000000,"",0.000,0.110,No  more than 0.28
617,0.000000,7700.000000,"",0.000,0.142,No  more than 0.28
618,0.000000,6585.000000,"",0.000,0.133,No  more than 0.28
619,0.000000,4130.000000,"",0.000,0.119,No  more than 0.28
620,0.000000,7025.000000,"",0.772,0.283, more than 0.28
621,0.000000,2455.000000,"",0.000,0.150,No  more than 0.28
622,0.000000,7380.000000,"",0.000,0.148,No  more than 0.28
623,0.000000,4115.000000,"",0.000,0.099,No  more than 0.28
624,1.000000,7218.000000,"",0.000,0.144,No  more than 0.28
625,0.000000,6310.000000,"",0.000,0.114,No  more than 0.28
626,1.000000,3981.000000,"",0.385,0.328, more than 0.28
627,1.000000,6617.000000,"",0.000,0.144,No  more than 0.28
628,1.000000,3150.000000,"",0.000,0.525, more than 0.28
629,0.000000,1423.000000,"",0.000,0.122,No  more than 0.28
630,0.000000,7122.000000,"",0.000,0.550, more than 0.28
631,0.000000,3133.000000,"",0.000,0.146,No  more than 0.28
632,0.000000,2591.000000,"",0.000,0.160,No  more than 0.28
633,1.000000,3808.000000,"",0.298,0.421, more than 0.28
634,1.000000,2604.000000,"",0.000,0.594, more than 0.28
635,0.000000,4032.000000,"",0.000,0.159,No  more than 0.28
636,0.000000,2989.000000,"",0.000,0.152,No  more than 0.28
637,0.000000,6064.000000,"",0.000,0.155,No  more than 0.28
638,0.000000,7551.000000,"",0.000,0.108,No  more than 0.28
639,1.000000,4217.000000,"",0.040,0.191,No  more than 0.28
640,0.000000,1007.000000,"",0.080,0.175,No  more than 0.28
641,1.000000,1055.000000,"",0.000,0.549, more than 0.28
642,1.000000,4355.000000,"",0.000,0.597, more than 0.28
643,0.000000,2069.000000,"",0.000,0.110,No  more than 0.28
644,1.000000,5834.000000,"",0.073,0.534, more than 0.28
645,0.000000,179.000000,"",0.000,0.141,No  more than 0.28
646,0.000000,6496.000000,"",0.000,0.158,No  more than 0.28
647,0.000000,134.000000,-1.0,0.0, No Prediction
648,1.000000,2994.000000,"",0.077,0.234,No  more than 0.28
649,0.000000,1730.000000,"",0.000,0.146,No  more than 0.28
650,0.000000,5335.000000,"",0.000,0.127,No  more than 0.28
651,0.000000,7505.000000,"",0.000,0.135,No  more than 0.28
652,0.000000,1792.000000,"",0.000,0.146,No  more than 0.28
653,1.000000,1879.000000,"",0.079,0.565, more than 0.28
654,0.000000,1434.000000,"",0.000,0.147,No  more than 0.28
655,0.000000,3838.000000,"",0.000,0.136,No  more than 0.28
656,0.000000,5130.000000,"",0.000,0.073,No  more than 0.28
657,1.000000,2571.000000,"",0.000,0.591, more than 0.28
658,1.000000,6752.000000,"",0.000,0.151,No  more than 0.28
659,0.000000,7739.000000,"",0.044,0.184,No  more than 0.28
660,1.000000,4515.000000,"",0.123,0.254,No  more than 0.28
661,0.000000,6090.000000,"",0.353,0.258,No  more than 0.28
662,1.000000,4616.000000,"",0.000,0.157,No  more than 0.28
663,1.000000,3319.000000,"",0.000,0.542, more than 0.28
664,0.000000,1348.000000,"",0.000,0.123,No  more than 0.28
665,0.000000,4666.000000,"",0.000,0.149,No  more than 0.28
666,0.000000,410.000000,"",0.000,0.143,No  more than 0.28
667,0.000000,870.000000,"",0.000,0.580, more than 0.28
668,0.000000,1059.000000,"",0.127,0.469, more than 0.28
669,0.000000,1284.000000,"",0.000,0.138,No  more than 0.28
670,1.000000,159.000000,"",0.000,0.094,No  more than 0.28
671,0.000000,4178.000000,"",0.000,0.156,No  more than 0.28
672,1.000000,7806.000000,"",0.000,0.151,No  more than 0.28
673,0.000000,1089.000000,"",0.000,0.149,No  more than 0.28
674,0.000000,4541.000000,"",0.000,0.144,No  more than 0.28
675,0.000000,1535.000000,"",0.048,0.259,No  more than 0.28
676,0.000000,8251.000000,"",0.176,0.367, more than 0.28
677,0.000000,7366.000000,"",0.000,0.087,No  more than 0.28
678,0.000000,1595.000000,"",0.000,0.159,No  more than 0.28
679,0.000000,4543.000000,"",0.000,0.136,No  more than 0.28
680,0.000000,7766.000000,"",0.000,0.163,No  more than 0.28
681,1.000000,39.000000,"",0.163,0.431, more than 0.28
682,1.000000,7136.000000,"",0.000,0.082,No  more than 0.28
683,1.000000,8392.000000,"",0.165,0.460, more than 0.28
684,0.000000,4627.000000,"",0.000,0.143,No  more than 0.28
685,0.000000,7543.000000,"",0.707,0.290, more than 0.28
686,0.000000,2500.000000,"",0.000,0.523, more than 0.28
687,0.000000,3147.000000,"",0.000,0.160,No  more than 0.28
688,0.000000,3787.000000,"",0.000,0.102,No  more than 0.28
689,0.000000,4686.000000,"",0.000,0.133,No  more than 0.28
690,0.000000,791.000000,"",0.000,0.151,No  more than 0.28
691,0.000000,6480.000000,"",0.000,0.163,No  more than 0.28
692,0.000000,5231.000000,"",0.000,0.140,No  more than 0.28
693,1.000000,7710.000000,"",0.000,0.556, more than 0.28
694,0.000000,97.000000,"",0.000,0.094,No  more than 0.28
695,0.000000,6345.000000,"",0.000,0.139,No  more than 0.28
696,0.000000,6903.000000,"",0.000,0.114,No  more than 0.28
697,0.000000,5271.000000,"",0.000,0.116,No  more than 0.28
698,0.000000,714.000000,"",0.016,0.189,No  more than 0.28
699,0.000000,1012.000000,"",0.000,0.148,No  more than 0.28
700,0.000000,6773.000000,"",0.848,0.289, more than 0.28
701,0.000000,2730.000000,"",0.000,0.556, more than 0.28
702,1.000000,7800.000000,"",0.000,0.551, more than 0.28
703,0.000000,2998.000000,"",0.074,0.264,No  more than 0.28
704,0.000000,2864.000000,-1.0,0.0, No Prediction
705,0.000000,3618.000000,"",0.000,0.145,No  more than 0.28
706,0.000000,3770.000000,"",0.000,0.143,No  more than 0.28
707,1.000000,8417.000000,"",0.713,0.278,No  more than 0.28
708,0.000000,7486.000000,"",0.000,0.153,No  more than 0.28
709,0.000000,7365.000000,"",0.000,0.092,No  more than 0.28
710,0.000000,253.000000,"",0.000,0.118,No  more than 0.28
711,0.000000,7869.000000,"",0.000,0.151,No  more than 0.28
712,0.000000,336.000000,"",0.044,0.152,No  more than 0.28
713,1.000000,4082.000000,"",0.000,0.126,No  more than 0.28
714,0.000000,2497.000000,"",0.000,0.153,No  more than 0.28
715,0.000000,4354.000000,"",0.512,0.292, more than 0.28
716,0.000000,8089.000000,"",0.000,0.115,No  more than 0.28
717,0.000000,6051.000000,"",0.000,0.129,No  more than 0.28
718,1.000000,2212.000000,"",0.000,0.599, more than 0.28
719,0.000000,2757.000000,"",0.000,0.148,No  more than 0.28
720,0.000000,6423.000000,"",0.000,0.114,No  more than 0.28
721,0.000000,6636.000000,"",0.226,0.251,No  more than 0.28
722,0.000000,6353.000000,"",0.000,0.155,No  more than 0.28
723,0.000000,6637.000000,"",0.848,0.289, more than 0.28
724,1.000000,6553.000000,"",0.108,0.440, more than 0.28
725,0.000000,8207.000000,"",0.000,0.122,No  more than 0.28
726,0.000000,6837.000000,"",0.000,0.150,No  more than 0.28
727,1.000000,6184.000000,"",0.000,0.141,No  more than 0.28
728,0.000000,4998.000000,"",0.000,0.144,No  more than 0.28
729,1.000000,4902.000000,"",0.000,0.155,No  more than 0.28
730,0.000000,1439.000000,"",0.029,0.166,No  more than 0.28
731,0.000000,1667.000000,"",0.000,0.147,No  more than 0.28
732,0.000000,7351.000000,"",0.000,0.143,No  more than 0.28
733,0.000000,6006.000000,"",0.000,0.110,No  more than 0.28
734,0.000000,7291.000000,"",0.000,0.145,No  more than 0.28
735,0.000000,6800.000000,"",0.375,0.238,No  more than 0.28
736,0.000000,7128.000000,"",0.000,0.154,No  more than 0.28
737,0.000000,82.000000,"",0.337,0.361, more than 0.28
738,0.000000,4456.000000,"",0.000,0.156,No  more than 0.28
739,0.000000,467.000000,"",0.000,0.143,No  more than 0.28
740,1.000000,2809.000000,"",0.493,0.318, more than 0.28
741,1.000000,2910.000000,"",0.000,0.160,No  more than 0.28
742,1.000000,1203.000000,"",0.032,0.550, more than 0.28
743,0.000000,1664.000000,"",0.000,0.141,No  more than 0.28
744,1.000000,5459.000000,"",0.000,0.568, more than 0.28
745,1.000000,4231.000000,"",0.102,0.492, more than 0.28
746,0.000000,2574.000000,"",0.027,0.250,No  more than 0.28
747,0.000000,1149.000000,"",0.000,0.112,No  more than 0.28
748,1.000000,2686.000000,"",0.308,0.331, more than 0.28
749,0.000000,1077.000000,"",0.009,0.147,No  more than 0.28
750,0.000000,3196.000000,"",0.000,0.148,No  more than 0.28
751,1.000000,1896.000000,"",0.000,0.588, more than 0.28
752,0.000000,4641.000000,"",0.000,0.116,No  more than 0.28
753,1.000000,7193.000000,-1.0,0.0, No Prediction
754,0.000000,7771.000000,"",0.000,0.599, more than 0.28
755,1.000000,505.000000,"",0.861,0.282, more than 0.28
756,1.000000,7262.000000,"",0.000,0.149,No  more than 0.28
757,0.000000,276.000000,"",0.000,0.129,No  more than 0.28
758,0.000000,323.000000,"",0.000,0.130,No  more than 0.28
759,0.000000,6340.000000,"",0.840,0.282, more than 0.28
760,1.000000,3383.000000,"",0.927,0.281, more than 0.28
761,0.000000,6217.000000,"",0.000,0.140,No  more than 0.28
762,0.000000,498.000000,-1.0,0.0, No Prediction
763,0.000000,6081.000000,"",0.000,0.128,No  more than 0.28
764,0.000000,4455.000000,"",0.000,0.123,No  more than 0.28
765,0.000000,7369.000000,"",0.000,0.120,No  more than 0.28
766,0.000000,7949.000000,"",0.000,0.171,No  more than 0.28
767,1.000000,6544.000000,"",0.597,0.279,No  more than 0.28
768,0.000000,4219.000000,"",0.000,0.155,No  more than 0.28
769,1.000000,685.000000,"",0.000,0.542, more than 0.28
770,0.000000,1117.000000,"",0.814,0.288, more than 0.28
771,0.000000,5603.000000,"",0.000,0.161,No  more than 0.28
772,1.000000,5331.000000,"",0.000,0.138,No  more than 0.28
773,0.000000,6309.000000,"",0.000,0.118,No  more than 0.28
774,0.000000,4017.000000,"",0.000,0.599, more than 0.28
775,0.000000,7558.000000,"",0.000,0.154,No  more than 0.28
776,0.000000,2931.000000,"",0.000,0.149,No  more than 0.28
777,0.000000,746.000000,"",0.000,0.139,No  more than 0.28
778,0.000000,3108.000000,"",0.048,0.194,No  more than 0.28
779,0.000000,6661.000000,"",0.000,0.142,No  more than 0.28
780,0.000000,8016.000000,"",0.000,0.120,No  more than 0.28
781,0.000000,1739.000000,"",0.000,0.145,No  more than 0.28
782,0.000000,8303.000000,"",0.145,0.181,No  more than 0.28
783,0.000000,1564.000000,"",0.000,0.107,No  more than 0.28
784,1.000000,5533.000000,"",0.000,0.143,No  more than 0.28
785,0.000000,3619.000000,"",0.000,0.096,No  more than 0.28
786,0.000000,606.000000,"",0.000,0.133,No  more than 0.28
787,0.000000,8358.000000,"",0.000,0.155,No  more than 0.28
788,0.000000,7580.000000,"",0.000,0.145,No  more than 0.28
789,0.000000,4962.000000,"",0.712,0.320, more than 0.28
790,1.000000,4505.000000,"",0.072,0.519, more than 0.28
791,0.000000,5418.000000,"",0.031,0.127,No  more than 0.28
792,0.000000,4212.000000,"",0.000,0.142,No  more than 0.28
793,1.000000,4987.000000,-1.0,0.0, No Prediction
794,0.000000,8414.000000,"",0.000,0.118,No  more than 0.28
795,0.000000,7405.000000,"",0.000,0.631, more than 0.28
796,1.000000,3343.000000,"",0.655,0.292, more than 0.28
797,0.000000,5910.000000,"",0.000,0.147,No  more than 0.28
798,0.000000,8503.000000,"",0.000,0.136,No  more than 0.28
799,1.000000,1212.000000,"",0.409,0.393, more than 0.28
800,0.000000,2114.000000,"",0.000,0.136,No  more than 0.28
801,1.000000,6000.000000,"",0.000,0.671, more than 0.28
802,0.000000,534.000000,-1.0,0.0, No Prediction
803,0.000000,7516.000000,"",0.547,0.347, more than 0.28
804,0.000000,3664.000000,"",0.151,0.445, more than 0.28
805,1.000000,5887.000000,"",0.000,0.551, more than 0.28
806,1.000000,7487.000000,"",0.000,0.142,No  more than 0.28
807,1.000000,3975.000000,"",0.911,0.278,No  more than 0.28
808,0.000000,2407.000000,"",0.701,0.295, more than 0.28
809,1.000000,4104.000000,"",0.000,0.085,No  more than 0.28
810,0.000000,6874.000000,"",0.000,0.101,No  more than 0.28
811,0.000000,556.000000,"",0.281,0.420, more than 0.28
812,1.000000,6518.000000,"",0.350,0.277,No  more than 0.28
813,0.000000,2289.000000,"",0.000,0.120,No  more than 0.28
814,0.000000,7935.000000,"",0.000,0.146,No  more than 0.28
815,0.000000,1943.000000,"",0.000,0.150,No  more than 0.28
816,0.000000,2320.000000,"",0.000,0.117,No  more than 0.28
817,1.000000,4947.000000,"",0.000,0.591, more than 0.28
818,0.000000,485.000000,"",0.000,0.129,No  more than 0.28
819,0.000000,6631.000000,"",0.000,0.123,No  more than 0.28
820,0.000000,3803.000000,"",0.000,0.647, more than 0.28
821,0.000000,1749.000000,"",0.000,0.091,No  more than 0.28
822,0.000000,1514.000000,"",0.417,0.324, more than 0.28
823,1.000000,3835.000000,"",0.000,0.146,No  more than 0.28
824,1.000000,8160.000000,"",0.000,0.122,No  more than 0.28
825,0.000000,868.000000,"",0.738,0.300, more than 0.28
826,0.000000,4941.000000,"",0.639,0.289, more than 0.28
827,0.000000,4633.000000,"",0.000,0.136,No  more than 0.28
828,0.000000,5023.000000,"",0.000,0.151,No  more than 0.28
829,0.000000,7020.000000,"",0.000,0.110,No  more than 0.28
830,1.000000,1651.000000,"",0.000,0.150,No  more than 0.28
831,1.000000,8469.000000,"",0.000,0.174,No  more than 0.28
832,0.000000,3321.000000,"",0.000,0.162,No  more than 0.28
833,0.000000,50.000000,"",0.000,0.108,No  more than 0.28
834,1.000000,4374.000000,"",0.193,0.252,No  more than 0.28
835,0.000000,2752.000000,"",0.700,0.297, more than 0.28
836,0.000000,4610.000000,"",0.000,0.119,No  more than 0.28
837,0.000000,2448.000000,"",0.049,0.202,No  more than 0.28
838,1.000000,744.000000,"",0.000,0.159,No  more than 0.28
839,1.000000,7264.000000,"",0.000,0.153,No  more than 0.28
840,0.000000,1597.000000,"",0.000,0.152,No  more than 0.28
841,0.000000,1199.000000,"",0.000,0.548, more than 0.28
842,0.000000,8164.000000,"",0.811,0.280, more than 0.28
843,0.000000,6992.000000,"",0.000,0.104,No  more than 0.28
844,1.000000,4196.000000,"",0.254,0.241,No  more than 0.28
845,0.000000,3439.000000,"",0.000,0.161,No  more than 0.28
846,1.000000,4728.000000,"",0.000,0.599, more than 0.28
847,0.000000,999.000000,"",0.045,0.213,No  more than 0.28
848,1.000000,395.000000,"",0.000,0.150,No  more than 0.28
849,1.000000,2804.000000,"",0.000,0.551, more than 0.28
850,0.000000,232.000000,"",0.000,0.149,No  more than 0.28
851,0.000000,3863.000000,"",0.000,0.148,No  more than 0.28
852,0.000000,1125.000000,"",0.000,0.126,No  more than 0.28
853,0.000000,1228.000000,"",0.382,0.275,No  more than 0.28
854,0.000000,7134.000000,"",0.000,0.147,No  more than 0.28
855,1.000000,3920.000000,"",0.000,0.158,No  more than 0.28
856,1.000000,8308.000000,"",0.000,0.645, more than 0.28
857,1.000000,8225.000000,"",0.476,0.287, more than 0.28
858,0.000000,6387.000000,"",0.000,0.147,No  more than 0.28
859,0.000000,3970.000000,"",0.000,0.153,No  more than 0.28
860,0.000000,5796.000000,"",0.000,0.171,No  more than 0.28
861,0.000000,6442.000000,"",0.000,0.134,No  more than 0.28
862,0.000000,3893.000000,"",0.000,0.155,No  more than 0.28
863,0.000000,4936.000000,"",0.072,0.177,No  more than 0.28
864,0.000000,1693.000000,"",0.000,0.163,No  more than 0.28
865,0.000000,5359.000000,"",0.161,0.401, more than 0.28
866,0.000000,3694.000000,"",0.000,0.130,No  more than 0.28
867,1.000000,7590.000000,"",0.000,0.150,No  more than 0.28
868,0.000000,2475.000000,"",0.042,0.199,No  more than 0.28
869,1.000000,8066.000000,"",0.000,0.760, more than 0.28
870,1.000000,8162.000000,"",0.192,0.401, more than 0.28
871,0.000000,63.000000,"",0.000,0.119,No  more than 0.28
872,0.000000,3773.000000,"",0.000,0.080,No  more than 0.28
873,0.000000,5954.000000,"",0.000,0.158,No  more than 0.28
874,1.000000,2489.000000,"",0.000,0.525, more than 0.28
875,0.000000,4742.000000,"",0.000,0.159,No  more than 0.28
876,0.000000,404.000000,"",0.000,0.131,No  more than 0.28
877,0.000000,334.000000,"",0.000,0.095,No  more than 0.28
878,1.000000,6714.000000,"",0.000,0.556, more than 0.28
879,0.000000,7393.000000,"",0.966,0.278,No  more than 0.28
880,0.000000,2896.000000,-1.0,0.0, No Prediction
881,1.000000,2031.000000,"",0.209,0.447, more than 0.28
882,0.000000,7872.000000,"",0.000,0.122,No  more than 0.28
883,0.000000,4887.000000,"",0.000,0.155,No  more than 0.28
884,0.000000,7484.000000,"",0.000,0.135,No  more than 0.28
885,0.000000,4810.000000,"",0.000,0.163,No  more than 0.28
886,1.000000,247.000000,"",0.032,0.549, more than 0.28
887,0.000000,8100.000000,"",0.000,0.133,No  more than 0.28
888,0.000000,8284.000000,"",0.000,0.542, more than 0.28
