"RecNo","leave_ind","fictive-oved","Expected_by_Formulas","Sign_Level","Concl_Prob","Prediction"
102,0.000000,6982.000000,"",0.000,0.130,No  more than 0.28
103,0.000000,5960.000000,"",0.104,0.204,No  more than 0.28
104,1.000000,1246.000000,"",0.262,0.365, more than 0.28
105,0.000000,3003.000000,"",0.000,0.130,No  more than 0.28
106,0.000000,3786.000000,"",0.000,0.127,No  more than 0.28
107,0.000000,241.000000,"",0.000,0.146,No  more than 0.28
108,1.000000,702.000000,"",0.000,0.105,No  more than 0.28
109,0.000000,843.000000,"",0.000,0.142,No  more than 0.28
110,1.000000,1748.000000,"",0.000,0.097,No  more than 0.28
111,1.000000,4872.000000,"",0.000,0.156,No  more than 0.28
112,0.000000,8109.000000,"",0.000,0.083,No  more than 0.28
113,0.000000,7601.000000,"",0.000,0.132,No  more than 0.28
114,0.000000,6793.000000,"",0.161,0.454, more than 0.28
115,1.000000,929.000000,"",0.000,0.110,No  more than 0.28
116,0.000000,2887.000000,"",0.000,0.121,No  more than 0.28
117,1.000000,6962.000000,"",0.000,0.152,No  more than 0.28
118,1.000000,7719.000000,"",0.660,0.311, more than 0.28
119,0.000000,463.000000,"",0.000,0.106,No  more than 0.28
120,1.000000,513.000000,"",0.151,0.260,No  more than 0.28
121,0.000000,542.000000,"",0.000,0.151,No  more than 0.28
122,1.000000,5268.000000,"",0.000,0.101,No  more than 0.28
123,1.000000,7377.000000,"",0.015,0.168,No  more than 0.28
124,0.000000,4924.000000,"",0.733,0.328, more than 0.28
125,1.000000,6911.000000,"",0.000,0.745, more than 0.28
126,0.000000,6839.000000,"",0.000,0.145,No  more than 0.28
127,0.000000,4740.000000,"",0.811,0.305, more than 0.28
128,1.000000,881.000000,"",0.000,0.110,No  more than 0.28
129,1.000000,4286.000000,"",0.000,0.129,No  more than 0.28
130,0.000000,7007.000000,"",0.000,0.122,No  more than 0.28
131,0.000000,8275.000000,"",0.000,0.114,No  more than 0.28
132,0.000000,2646.000000,"",0.000,0.103,No  more than 0.28
133,0.000000,3055.000000,"",0.000,0.152,No  more than 0.28
134,0.000000,5050.000000,"",0.000,0.160,No  more than 0.28
135,0.000000,1481.000000,"",0.000,0.107,No  more than 0.28
136,0.000000,2519.000000,"",0.000,0.114,No  more than 0.28
137,0.000000,1872.000000,"",0.000,0.163,No  more than 0.28
138,1.000000,8048.000000,"",0.182,0.462, more than 0.28
139,0.000000,7304.000000,"",0.000,0.150,No  more than 0.28
140,1.000000,5142.000000,"",0.000,0.152,No  more than 0.28
141,1.000000,5613.000000,"",0.000,0.525, more than 0.28
142,0.000000,2885.000000,"",0.000,0.108,No  more than 0.28
143,0.000000,21.000000,"",0.026,0.618, more than 0.28
144,1.000000,5676.000000,-1.0,0.0, No Prediction
145,0.000000,3443.000000,"",0.000,0.159,No  more than 0.28
146,0.000000,4766.000000,"",0.215,0.220,No  more than 0.28
147,0.000000,7608.000000,"",0.082,0.498, more than 0.28
148,1.000000,1608.000000,"",0.000,0.145,No  more than 0.28
149,0.000000,6810.000000,"",0.000,0.145,No  more than 0.28
150,0.000000,6866.000000,"",0.000,0.146,No  more than 0.28
151,0.000000,317.000000,"",0.049,0.202,No  more than 0.28
152,0.000000,5572.000000,"",0.000,0.143,No  more than 0.28
153,0.000000,2020.000000,"",0.000,0.140,No  more than 0.28
154,0.000000,8271.000000,"",0.000,0.101,No  more than 0.28
155,0.000000,1324.000000,"",0.000,0.105,No  more than 0.28
156,0.000000,3889.000000,"",0.000,0.114,No  more than 0.28
157,0.000000,2524.000000,"",0.815,0.305, more than 0.28
158,1.000000,1841.000000,"",0.574,0.384, more than 0.28
159,0.000000,5576.000000,"",0.000,0.156,No  more than 0.28
160,0.000000,6438.000000,"",0.328,0.211,No  more than 0.28
161,0.000000,3156.000000,"",0.000,0.150,No  more than 0.28
